WKT,csquare_area,surface_sar,subsurface_sar,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-7.5 47.65,-7.5 47.7,-7.45 47.7,-7.45 47.65,-7.5 47.65))",20.8130429320685,94.2330847942689,7.35018061395298,Bay of Biscay and the Iberian Coast,"24E2",7400:477:364:4,47.675,-7.475
"POLYGON ((-4.7 47.1,-4.7 47.15,-4.65 47.15,-4.65 47.1,-4.7 47.1))",21.0314555712456,541.874903781862,42.8184127032933,Bay of Biscay and the Iberian Coast,"23E5",7400:374:216:2,47.125,-4.675
"POLYGON ((-6.9 47.75,-6.9 47.8,-6.85 47.8,-6.85 47.75,-6.9 47.75))",20.773124901659,191.548731172058,14.9408010314205,Bay of Biscay and the Iberian Coast,"24E3",7400:476:478:4,47.775,-6.875
"POLYGON ((-2.05 44.6,-2.05 44.65,-2 44.65,-2 44.6,-2.05 44.6))",21.9995201233082,291.222761368401,22.6552185783949,Bay of Biscay and the Iberian Coast,"18E7",7400:142:360:1,44.625,-2.025
"POLYGON ((-2.8 47.4,-2.8 47.45,-2.75 47.45,-2.75 47.4,-2.8 47.4))",20.9125603669689,2.61797609357915,0.384842485756135,Bay of Biscay and the Iberian Coast,"23E7",7400:372:247:2,47.425,-2.775
"POLYGON ((-1.85 44.95,-1.85 45.0,-1.8 45.0,-1.8 44.95,-1.85 44.95))",21.8664707789074,889.106307200629,555.051356016632,Bay of Biscay and the Iberian Coast,"18E8",7400:141:498:3,44.975,-1.825
"POLYGON ((-1.8 44.6,-1.8 44.65,-1.75 44.65,-1.75 44.6,-1.8 44.6))",21.9995201233082,598.803760634181,60.2937828498519,Bay of Biscay and the Iberian Coast,"18E8",7400:141:467:2,44.625,-1.775
"POLYGON ((-3 47.5,-3 47.55,-2.95 47.55,-2.95 47.5,-3 47.5))",20.8728010644773,22.669846479568,3.21853966948514,Bay of Biscay and the Iberian Coast,"24E7",7400:372:459:2,47.525,-2.975
"POLYGON ((-5.15 44.0,-5.15 44.05,-5.1 44.05,-5.1 44.0,-5.15 44.0))",22.2256920756553,0.627582117428219,0.0922545712619482,Bay of Biscay and the Iberian Coast,"17E4",7400:245:101:1,44.025,-5.125
"POLYGON ((-5.35 46.9,-5.35 46.95,-5.3 46.95,-5.3 46.9,-5.35 46.9))",21.1103989146674,11.5916454883771,0.795896423053586,Bay of Biscay and the Iberian Coast,"22E4",7400:465:393:1,46.925,-5.325
"POLYGON ((-2.1 44.45,-2.1 44.5,-2.05 44.5,-2.05 44.45,-2.1 44.45))",22.056290256211,207.135501220196,15.5937852037405,Bay of Biscay and the Iberian Coast,"17E7",7400:142:140:4,44.475,-2.075
"POLYGON ((-3.35 45.5,-3.35 45.55,-3.3 45.55,-3.3 45.5,-3.35 45.5))",21.6557465892468,472.820131864013,36.8763686115639,Bay of Biscay and the Iberian Coast,"20E6",7400:353:353:1,45.525,-3.325
