"StockKeyLabel","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","StockSize","SBL","Ecoregion","FisheriesGuild"
"sck.27.nea",2019,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"sck.27.nea",2019,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"sdv.27.nea",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"sdv.27.nea",2021,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","elasmobranch"
"sho.27.89a",2021,"PA/Stock status only","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"sho.27.89a",2021,"PA/Stock status only","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"sol.27.8ab",2021,"MP","Maximum sustainable yield","RED","RED","RED","Bay of Biscay and the Iberian Coast Ecoregion","benthic"
"sol.27.8ab",2021,"MP","Precautionary approach","GREEN","ORANGE","RED","Bay of Biscay and the Iberian Coast Ecoregion","benthic"
"sol.27.8c9a",2021,"MSY","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","benthic"
"sol.27.8c9a",2021,"MSY","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","benthic"
"syc.27.8abd",2021,"PA/Stock status only","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"syc.27.8abd",2021,"PA/Stock status only","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"syc.27.8c9a",2021,"PA/Stock status only","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"syc.27.8c9a",2021,"PA/Stock status only","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion","elasmobranch"
"tsu.27.nea",2020,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"tsu.27.nea",2020,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"usk.27.3a45b6a7-912b",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"usk.27.3a45b6a7-912b",2021,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"whb.27.1-91214",2021,"MP","Maximum sustainable yield","RED","GREEN","RED","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"whb.27.1-91214",2021,"MP","Precautionary approach","ORANGE","GREEN","RED","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"whg.27.89a",2021,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"whg.27.89a",2021,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
